i,j,AR,area
6,45,3.63292,0.000271648
6,46,3.69211,0.000276015
6,47,3.75136,0.000280382
6,48,3.81067,0.000284748
6,49,3.87002,0.000289115
6,50,3.92943,0.000293482
6,51,3.98888,0.000297848
6,52,4.04837,0.000302215
6,53,4.10791,0.000306582
6,54,4.16749,0.000310949
6,55,4.22711,0.000315315
6,56,4.28676,0.000319682
6,57,4.34645,0.000324049
6,58,4.40618,0.000328415
6,59,4.46594,0.000332782
6,60,4.52573,0.000337149
6,61,4.58555,0.000341516
6,62,4.64541,0.000345882
6,63,4.70529,0.000350249
6,64,4.76519,0.000354616
6,65,4.82513,0.000358982
6,66,4.88509,0.000363349
6,67,4.94507,0.000367716
6,68,5.00508,0.000372083
6,69,5.0651,0.000376449
6,70,5.12516,0.000380816
6,71,5.18523,0.000385183
6,72,5.24532,0.000389549
6,73,5.30543,0.000393916
6,74,5.36556,0.000398283
6,75,5.42571,0.00040265
6,76,5.48588,0.000407016
6,77,5.54607,0.000411383
6,78,5.60627,0.00041575
6,79,5.66648,0.000420117
6,80,5.72672,0.000424483
6,81,5.78697,0.00042885
6,82,5.84723,0.000433217
6,83,5.90751,0.000437583
6,84,5.9678,0.00044195
6,85,6.0281,0.000446317
6,86,6.08842,0.000450684
6,87,6.14875,0.00045505
6,88,6.20909,0.000459417
6,89,6.26944,0.000463784
6,90,6.32981,0.00046815
6,91,6.39019,0.000472517
6,92,6.45057,0.000476884
6,93,6.51097,0.000481251
6,94,6.57138,0.000485617
6,95,6.6318,0.000489984
6,96,6.69223,0.000494351
6,97,6.75266,0.000498717
6,98,6.81311,0.000503084
6,99,6.87357,0.000507451
7,0,1.15507,7.85569e-05
7,1,1.195,8.26652e-05
7,2,1.23613,8.67735e-05
7,3,1.27836,9.08818e-05
7,4,1.32158,9.49901e-05
7,5,1.3657,9.90984e-05
7,6,1.41063,0.000103207
7,7,1.45629,0.000107315
7,8,1.50263,0.000111423
7,9,1.54957,0.000115532
7,10,1.59707,0.00011964
7,11,1.64508,0.000123748
7,12,1.69355,0.000127857
7,13,1.74244,0.000131965
7,14,1.79173,0.000136073
7,15,1.84138,0.000140181
7,16,1.89136,0.00014429
7,17,1.94164,0.000148398
7,18,1.99221,0.000152506
7,19,2.04304,0.000156615
7,20,2.09411,0.000160723
7,21,2.1454,0.000164831
7,22,2.1969,0.00016894
7,23,2.2486,0.000173048
7,24,2.30049,0.000177156
7,25,2.35254,0.000181265
7,26,2.40475,0.000185373
7,27,2.4571,0.000189481
7,28,2.5096,0.000193589
7,29,2.56223,0.000197698
7,30,2.61498,0.000201806
7,31,2.66785,0.000205914
7,32,2.72082,0.000210023
7,33,2.7739,0.000214131
7,34,2.82708,0.000218239
7,35,2.88035,0.000222348
7,36,2.9337,0.000226456
7,37,2.98713,0.000230564
7,38,3.04065,0.000234672
7,39,3.09423,0.000238781
7,40,3.14789,0.000242889
7,41,3.20161,0.000246997
7,42,3.25539,0.000251106
7,43,3.30924,0.000255214
7,44,3.36314,0.000259322
7,45,3.4171,0.000263431
7,46,3.47111,0.000267539
7,47,3.52516,0.000271647
7,48,3.57927,0.000275756
7,49,3.63342,0.000279864
7,50,3.68761,0.000283972
7,51,3.74184,0.00028808
7,52,3.79612,0.000292189
7,53,3.85043,0.000296297
7,54,3.90478,0.000300405
7,55,3.95916,0.000304514
7,56,4.01357,0.000308622
7,57,4.06802,0.00031273
7,58,4.1225,0.000316839
7,59,4.17701,0.000320947
7,60,4.23154,0.000325055
7,61,4.28611,0.000329163
7,62,4.34069,0.000333272
7,63,4.39531,0.00033738
7,64,4.44995,0.000341488
7,65,4.50461,0.000345597
7,66,4.5593,0.000349705
7,67,4.614,0.000353813
7,68,4.66873,0.000357922
7,69,4.72348,0.00036203
7,70,4.77825,0.000366138
7,71,4.83303,0.000370247
7,72,4.88784,0.000374355
7,73,4.94266,0.000378463
7,74,4.9975,0.000382571
7,75,5.05236,0.00038668
7,76,5.10723,0.000390788
7,77,5.16212,0.000394896
7,78,5.21702,0.000399005
7,79,5.27194,0.000403113
7,80,5.32687,0.000407221
7,81,5.38181,0.00041133
7,82,5.43677,0.000415438
7,83,5.49174,0.000419546
7,84,5.54673,0.000423654
7,85,5.60172,0.000427763
7,86,5.65673,0.000431871
7,87,5.71175,0.000435979
7,88,5.76678,0.000440088
7,89,5.82182,0.000444196
7,90,5.87687,0.000448304
7,91,5.93193,0.000452413
7,92,5.98701,0.000456521
7,93,6.04209,0.000460629
7,94,6.09718,0.000464738
7,95,6.15228,0.000468846
7,96,6.20739,0.000472954
7,97,6.2625,0.000477062
7,98,6.31763,0.000481171
7,99,6.37276,0.000485279
8,0,1.13831,8.15684e-05
8,1,1.17691,8.54703e-05
8,2,1.21644,8.93722e-05
8,3,1.25682,9.3274e-05
8,4,1.29797,9.71759e-05
8,5,1.33982,0.000101078
8,6,1.38231,0.00010498
8,7,1.42538,0.000108882
8,8,1.46897,0.000112783
8,9,1.51305,0.000116685
8,10,1.55757,0.000120587
8,11,1.6025,0.000124489
8,12,1.64779,0.000128391
8,13,1.69343,0.000132293
8,14,1.73938,0.000136195
8,15,1.78563,0.000140097
8,16,1.83214,0.000143998
8,17,1.8789,0.0001479
8,18,1.9259,0.000151802
8,19,1.9731,0.000155704
8,20,2.02051,0.000159606
8,21,2.0681,0.000163508
8,22,2.11586,0.00016741
8,23,2.16379,0.000171312
8,24,2.21186,0.000175213
8,25,2.26008,0.000179115
8,26,2.30843,0.000183017
8,27,2.35691,0.000186919
8,28,2.4055,0.000190821
8,29,2.4542,0.000194723
8,30,2.50301,0.000198625
8,31,2.55191,0.000202527
8,32,2.6009,0.000206428
8,33,2.64998,0.00021033
8,34,2.69915,0.000214232
8,35,2.74839,0.000218134
8,36,2.7977,0.000222036
8,37,2.84709,0.000225938
8,38,2.89654,0.00022984
8,39,2.94605,0.000233742
8,40,2.99563,0.000237643
8,41,3.04526,0.000241545
8,42,3.09494,0.000245447
8,43,3.14468,0.000249349
8,44,3.19446,0.000253251
8,45,3.2443,0.000257153
8,46,3.29417,0.000261055
8,47,3.34409,0.000264957
8,48,3.39405,0.000268858
8,49,3.44405,0.00027276
8,50,3.49409,0.000276662
8,51,3.54416,0.000280564
8,52,3.59427,0.000284466
8,53,3.64441,0.000288368
8,54,3.69458,0.00029227
8,55,3.74479,0.000296172
8,56,3.79502,0.000300073
8,57,3.84528,0.000303975
8,58,3.89556,0.000307877
8,59,3.94588,0.000311779
8,60,3.99621,0.000315681
8,61,4.04657,0.000319583
8,62,4.09696,0.000323485
8,63,4.14737,0.000327387
8,64,4.19779,0.000331288
8,65,4.24824,0.00033519
8,66,4.29871,0.000339092
8,67,4.3492,0.000342994
8,68,4.3997,0.000346896
8,69,4.45023,0.000350798
8,70,4.50077,0.0003547
8,71,4.55133,0.000358602
8,72,4.6019,0.000362503
8,73,4.65249,0.000366405
8,74,4.7031,0.000370307
8,75,4.75372,0.000374209
8,76,4.80435,0.000378111
8,77,4.855,0.000382013
8,78,4.90566,0.000385915
8,79,4.95634,0.000389817
8,80,5.00702,0.000393718
8,81,5.05772,0.00039762
8,82,5.10843,0.000401522
8,83,5.15916,0.000405424
8,84,5.20989,0.000409326
8,85,5.26064,0.000413228
8,86,5.31139,0.00041713
8,87,5.36216,0.000421032
8,88,5.41293,0.000424933
8,89,5.46372,0.000428835
8,90,5.51451,0.000432737
8,91,5.56531,0.000436639
8,92,5.61613,0.000440541
8,93,5.66695,0.000444443
8,94,5.71778,0.000448345
8,95,5.76861,0.000452247
8,96,5.81946,0.000456148
8,97,5.87031,0.00046005
8,98,5.92117,0.000463952
8,99,5.97204,0.000467854
9,0,1.12328,8.42437e-05
9,1,1.16074,8.7977e-05
9,2,1.19894,9.17103e-05
9,3,1.2378,9.54436e-05
9,4,1.27726,9.9177e-05
9,5,1.31728,0.00010291
9,6,1.35779,0.000106644
9,7,1.39877,0.000110377
9,8,1.44016,0.00011411
9,9,1.48193,0.000117844
9,10,1.52405,0.000121577
9,11,1.5665,0.00012531
9,12,1.60925,0.000129044
9,13,1.65227,0.000132777
9,14,1.69554,0.00013651
9,15,1.73905,0.000140244
9,16,1.78278,0.000143977
9,17,1.82671,0.00014771
9,18,1.87082,0.000151444
9,19,1.91512,0.000155177
9,20,1.95957,0.00015891
9,21,2.00418,0.000162644
9,22,2.04892,0.000166377
